Train loss,Validation loss
0.3440674878059224,0.24182443917462867
0.18156510814625948,0.18412563589933728
0.14434670736604832,0.1852203528895708
0.10263257597219498,0.13777903937402047
0.08683604735104158,0.1487034289789985
0.09751434203854857,0.17526606056406827
0.08178714045228805,0.14561927835457028
0.06964893162967686,0.1308878240649522
0.06001624983939576,0.12777008657742825
0.057372714686680606,0.13558419299494875
0.0526437665171483,0.16499471754775316
0.04867758265233295,0.14269392043809473
0.04985622133322578,0.17039990536785418
0.07789989441314484,0.17315597630534155
0.05780371885129156,0.14693844812926338
0.04541221771010741,0.141446379397738
0.04164869682913158,0.15422133855276376
0.03921365217470071,0.17313421211791657
0.03777038451423619,0.1662513397918831
0.035687120671179844,0.16878914854335433
0.03394150276753036,0.18845399565387716
0.03231415356743463,0.1643217144101592
0.031003448688848453,0.1674176635939927
0.03014638566257641,0.161458722115328
0.02934242146000027,0.1744284542092438
0.028778325079038818,0.16412425525039517
0.04227214054588009,0.18388567227448221
0.029942028548189982,0.1746741824104642
0.02892280853089483,0.16316240692124537
