Train loss,Validation loss
0.25523303979061507,0.2398177943076007
0.12663151953309615,0.16917865718215971
0.08933060443935228,0.23473247590217008
0.06970010884106159,0.19166638119100493
0.06951304743773637,0.1483786539542572
0.056079577853813525,0.14359759115676363
0.07477579446121015,0.15187236876278934
0.05108226305820088,0.13194587874812505
0.046217542071951265,0.20429195733855263
0.04456939764400536,0.13808806810531157
0.04251160620547393,0.13620565224867148
0.03939341742764501,0.14634355031687715
0.03441990463232452,0.1508071596049766
0.059828601254618426,0.17563523224577823
0.04895570644869763,0.1340139936203611
0.0358959352846611,0.13804287331710968
0.032175362476192536,0.1393937427556791
0.02985602119977382,0.13977052643396226
0.02834721795348002,0.13196116717967277
0.027113012090464805,0.12679987297908935
0.02636163883200065,0.14030835853780965
0.02979936922606539,0.13245606622201325
0.025252339014295428,0.13951030970885248
0.024567184167948956,0.15175770348666576
0.023116499305090164,0.14279031740804515
0.022518964222866426,0.15789310745858529
0.021279910701341966,0.15098192024844528
0.020450789496342447,0.14754481094054686
0.020086346341067936,0.14543624921651435
0.01967928699656006,0.15916488158880904
0.019475689711905816,0.16375553668001105
0.019095522913095707,0.15440759910462865
0.01893408161109901,0.16129130509114994
0.018077586558373535,0.15363847492213348
0.017836261338947768,0.1538577899511178
0.01768621947382263,0.15380431966542737
0.017353829071124927,0.17013627933338285
0.017330986023058787,0.15950374628906241
0.016950545314559962,0.16696181000691337
0.016683938264358728,0.16963872318995396
