Train loss,Validation loss
0.36404728642440737,0.3193437026547534
0.20475780430005833,0.3731504938698241
0.15457207107926435,0.21405912710220687
0.12305498752683242,0.23491848596937157
0.11851931146201602,0.16727050879105393
0.09891577706458096,0.16303597061030034
0.09070817903082638,0.1596823210428868
0.08237932112446443,0.15418391381889315
0.07153930576807037,0.21824917566846125
0.06304680984367661,0.21366981982802308
0.057545567927433844,0.2112493071651053
0.05588736137086376,0.16694138360118294
0.05172122372463744,0.2077293829489333
0.047821803894989634,0.16904728424269705
0.04530427980430942,0.20281913303603818
0.04532560165274271,0.2062444446034663
0.040755083356152244,0.20050330703816144
0.04339358493446666,0.5033536962264666
0.03959205221723427,0.18422567060396042
0.03784696484871089,0.19491745409572364
0.03508035086075412,0.17505503788228713
0.03354617128557062,0.19652281555983273
0.035574149220863126,0.2341307479067057
0.0331835266660879,0.23001860284712167
0.031613197416704604,0.22635666465004242
0.03183634149876827,0.2002736721052705
0.030174552776756132,0.20878932330462183
0.029330240901220928,0.23035605795199185
