Train loss,Validation loss,,crop,Test Loss: 0.1172
0.177200345,0.108105049,,,IoU Score: 0.7340
0.075956938,0.177879527,,,F1 Score: 0.8466
0.057755507,0.092574349,,,Accuracy: 0.9741
0.045458844,0.133787036,,,Precision: 0.9066
0.0385456,0.122102048,,,Recall: 0.7940
0.036893023,0.109943588,,,
0.03093115,0.096582176,,noncrop,Average IoU Score: 0.7476
0.029586974,0.097583353,,,Average F1 Score: 0.8556
0.026950859,0.119653677,,,Average Accuracy: 0.9861
0.023472725,0.088922383,,,Average Precision: 0.8674
0.022002581,0.268671909,,,Average Recall: 0.8440
0.025339594,0.140452124,,,
0.022002203,0.129785576,,,
0.019573533,0.131188817,,,
0.018802984,0.178427656,,,
0.018051936,0.151060998,,,
0.016815063,0.223558282,,,
0.016100312,0.202561277,,,
0.015697777,0.150716179,,,
0.015275249,0.145254986,,,
0.014910252,0.184555059,,,
0.014638008,0.15194434,,,
0.013940925,0.170447735,,,
0.013460861,0.185082572,,,
0.013150709,0.156215153,,,
0.012932879,0.189073284,,,
0.012747015,0.161249844,,,
0.012612645,0.152327839,,,
0.012264914,0.179914279,,,
0.012059835,0.291096,,,
0.012026258,0.19767508,,,
0.011806931,0.170712293,,,
0.011709057,0.179320027,,,
0.011672612,0.217900614,,,
0.011494354,0.220137209,,,
0.011400003,0.19434545,,,
0.011303189,0.179391788,,,
0.011356174,0.176491583,,,
0.011250227,0.181401181,,,
0.011180167,0.184004145,,,
