Train loss,Validation loss,,crop,IoU Score: 0.7541
0.423380964,0.282293261,,,F1 Score: 0.8598
0.279224287,0.220737167,,,Accuracy: 0.9531
0.246016693,0.18348361,,,Precision: 0.8684
0.218327437,0.213192624,,,Recall: 0.8513
0.202866374,0.175974754,,,
0.203974112,0.159558856,,non crop ,Average IoU Score: 0.7227
0.171650734,0.22134487,,,Average F1 Score: 0.8391
0.182265254,0.193578051,,,Average Accuracy: 0.9844
0.179685253,0.174669158,,,Average Precision: 0.8483
0.175371069,0.26852087,,,Average Recall: 0.8300
0.161072445,0.203017283,,,
0.151105496,0.169407372,,,
0.146992124,0.165589424,,,
0.159759368,0.146300195,,,
0.146500412,0.155688893,,,
0.147785218,0.159129919,,,
0.138697513,0.178750536,,,
0.132955386,0.186426503,,,
0.130492484,0.257360422,,,
0.130293087,0.322278399,,,
0.135510296,0.223613976,,,
0.155838108,0.144821178,,,
0.137636825,0.151006934,,,
0.123913275,0.200776614,,,
0.119627666,0.170952046,,,
0.11673634,0.188724066,,,
0.123104809,0.128957344,,,
0.137693166,0.268988462,,,
0.142768035,0.1753593,,,
0.13034402,0.141432766,,,
0.115760795,0.143178122,,,
0.114550717,0.151077664,,,
0.147413023,0.158711284,,,
0.11809916,0.138521661,,,
0.113146881,0.126675164,,,
0.112469991,0.14475675,,,
0.109735369,0.177185342,,,
0.10828116,0.158665559,,,
0.106087761,0.160539999,,,
0.113483684,0.186037935,,,
0.125936522,0.165929425,,,
0.129662326,0.134081434,,,
0.112244365,0.14563435,,,
0.106076438,0.148387676,,,
0.105322482,0.167030758,,,
0.103965067,0.139949721,,,
0.100569093,0.172370687,,,
0.097830284,0.150503691,,,
0.096492099,0.154536454,,,
0.095707382,0.152835067,,,
0.095341831,0.166331147,,,
0.094333685,0.164503904,,,
0.093758758,0.157995512,,,
0.095054596,0.192488354,,,
0.093272944,0.155368295,,,
0.093070534,0.157647555,,,
0.093321988,0.162703072,,,
0.091009024,0.169124564,,,
0.090224184,0.17018148,,,
0.091646192,0.161908466,,,
0.089783292,0.178358837,,,
0.08900691,0.18931538,,,
0.08850052,0.182354259,,,
0.088327692,0.192708264,,,
0.088340721,0.186965716,,,
0.088326347,0.163561729,,,
0.087653645,0.177871775,,,
0.087408576,0.1724342,,,
0.087365705,0.187126641,,,
0.086472322,0.182933662,,,
0.086951654,0.163302133,,,
0.085995445,0.183038373,,,
0.085837485,0.175882568,,,
0.085505677,0.171528991,,,
0.085608676,0.179177155,,,
0.085176221,0.179509327,,,
0.085285207,0.186973401,,,
0.085473408,0.180709665,,,
0.085385323,0.182072011,,,
0.084808057,0.205544696,,,
0.084565163,0.184408229,,,
0.084188906,0.176938089,,,
0.084028666,0.18502381,,,
0.083888266,0.168756689,,,
0.08387641,0.182823162,,,
