Train loss,Validation loss
0.140046057575208,0.11402797194314189
0.11989412966737135,0.10988740630397972
0.11527623096729982,0.10631642836711502
0.11263674664943614,0.10419557292480022
0.11168898112155537,0.10386311986034603
0.1111338564896966,0.10433385070313567
0.10988818487540923,0.10317209101007653
0.10935196013533495,0.10256675970075387
0.10909585682625439,0.10444376123237557
0.11056885513711102,0.10248852159462071
0.10893616088252654,0.10186806605363796
0.10848836887647761,0.10167857973428909
0.10827491858745003,0.10213496877321242
0.10807933303761609,0.10151797020308939
0.10816876534472175,0.10196812225663703
0.1080097283988713,0.1014108552813663
0.1077762471243022,0.10160198656958527
0.10762053899427149,0.10152794154252791
0.107506688385405,0.10169029308890458
0.1102741983405409,0.10758954420702399
0.10889830978158961,0.10154238674315691
0.10803313389978307,0.10160053621761368
0.10758932058345826,0.10153035999766351
0.10745581036264246,0.10185760395252146
0.10737588627134415,0.10160293965642007
0.10729897926676082,0.10166906345735437
0.10726556735720864,0.10171300012194219
0.10722426050168307,0.1016859302721319
0.10714496042639177,0.10165239554314343
0.10710395701269415,0.10160309783324399
0.10708335460347926,0.10163021402342046
0.10706413620933491,0.10170051797966673
0.10700418405673083,0.10170967888386388
0.10699311771335449,0.10165393003761503
0.10699496629403875,0.10178541574943145
0.10698413330922152,0.10170312454491588
